0,0,1,3,-1
0,1,-1,5,-1
0,2,1,6,-1
0,3,-1,3,-1
0,4,1,6,-1
0,5,-1,5,-1
0,6,1,2,-1
0,7,-1,1,-1
0,8,1,4,-1
0,9,-1,2,-1
0,10,1,6,-1
0,11,-1,4,-1

1,0,1,3,-1
1,1,-1,5,-1
1,2,1,2,-1
1,3,-1,1,-1
1,4,1,1,-1
1,5,-1,3,-1
1,6,1,5,-1
1,7,-1,3,-1
1,8,1,1,-1
1,9,-1,3,-1
1,10,1,2,-1
1,11,-1,3,-1

2,0,1,2,-1
2,1,-1,3,-1
2,2,1,2,-1
2,3,-1,2,-1
2,4,1,6,-1
2,5,-1,3,-1
2,6,1,4,-1
2,7,-1,3,-1
2,8,1,3,-1
2,9,-1,2,-1
2,10,1,4,-1
2,11,-1,4,-1
2,12,1,4,-1
2,13,-1,6,-1
2,14,1,5,-1
2,15,-1,1,-1
2,16,1,2,-1
2,17,-1,6,-1
2,18,1,6,-1
2,19,-1,1,-1
2,20,1,2,-1
2,21,-1,1,-1

3,0,-1,3,1
3,1,1,1,1
3,2,-1,5,1
3,3,1,4,1
3,4,-1,3,1
3,5,1,3,1
3,6,-1,3,1
3,7,1,1,1
3,8,-1,1,1
3,9,1,4,1
3,10,-1,3,1
3,11,1,4,1
3,12,-1,4,1
3,13,1,6,1
3,14,-1,2,1
3,15,1,5,1
3,16,-1,6,1
3,17,1,5,1
3,18,-1,6,1
3,19,1,6,1
3,20,-1,5,1
3,21,1,3,1
3,22,-1,2,1
3,23,1,2,1

4,0,1,5,-1
4,1,-1,3,-1
4,2,1,1,-1
4,3,-1,3,-1
4,4,1,5,-1
4,5,-1,3,-1
4,6,1,5,-1
4,7,-1,3,-1

5,0,-1,3,-1
5,1,1,1,-1
5,2,-1,5,-1
5,3,1,1,-1
5,4,-1,4,-1
5,5,1,1,-1
5,6,-1,2,-1

6,0,1,5,-1
6,1,-1,3,-1
6,2,1,0,-1
6,3,-1,3,-1
6,4,1,2,-1
6,5,-1,3,-1
6,6,1,5,-1
6,7,-1,3,-1

7,0,1,2,1
7,1,-1,3,1
7,2,1,4,1
7,3,-1,4,1
7,4,1,4,1
7,5,-1,3,1
7,6,1,2,1
7,7,-1,2,1
7,8,1,2,1
7,9,-1,6,1
7,10,1,4,1
7,11,-1,4,1
7,12,1,6,1
7,13,-1,3,1
7,14,1,3,1
7,15,-1,2,1
7,16,1,3,1
7,17,-1,2,1
7,18,1,6,1
7,19,-1,6,1
7,20,1,3,1
7,21,-1,5,1
7,22,1,4,1
7,23,-1,1,1
7,24,1,6,1
7,25,-1,1,1
7,26,1,1,1

8,0,1,2,-1
8,1,-1,3,-1
8,2,1,2,-1
8,3,-1,2,-1
8,4,1,6,-1
8,5,-1,3,-1
8,6,1,6,-1
8,7,-1,3,-1
8,8,1,3,-1
8,9,-1,2,-1
8,10,1,2,-1
8,11,-1,2,-1
8,12,1,6,-1
8,13,-1,6,-1
8,14,1,3,-1
8,15,-1,5,-1
8,16,1,6,-1
8,17,-1,0,-1
8,18,1,5,-1
8,19,-1,5,-1
8,20,1,4,-1
8,21,-1,4,-1

9,0,-1,3,1
9,1,1,2,1
9,2,-1,3,1
9,3,1,5,1
9,4,-1,3,1
9,5,1,3,1
9,6,-1,2,1
9,7,1,6,1
9,8,-1,6,1
9,9,1,5,1
9,10,-1,6,1
9,11,1,5,1
9,12,-1,5,1
9,13,1,5,1
9,14,-1,6,1
9,15,1,6,1
9,16,-1,2,1
9,17,1,2,1
9,18,-1,1,1
9,19,1,4,1
9,20,-1,2,1
9,21,1,1,1
9,22,-1,1,1
9,23,1,6,1
9,24,-1,1,1
9,25,1,3,1
9,26,-1,3,1
9,27,1,1,1
9,28,-1,4,1
9,29,1,4,1

10,0,-1,3,-1
10,1,1,1,-1
10,2,-1,5,-1
10,3,1,1,-1
10,4,-1,4,-1
10,5,1,2,-1
10,6,-1,6,-1

11,0,-1,3,-1
11,1,1,3,-1
11,2,-1,2,-1
11,3,1,5,-1
11,4,-1,1,-1
11,5,1,0,-1
11,6,-1,4,-1

12,0,1,6,-1
12,1,-1,3,-1
12,2,1,6,-1
12,3,-1,2,-1
12,4,1,6,-1
12,5,-1,6,-1
12,6,1,4,-1
12,7,-1,4,-1
12,8,1,3,-1
12,9,-1,0,-1
12,10,1,2,-1
12,11,-1,1,-1

13,0,-1,3,-1
13,1,1,4,-1
13,2,-1,3,-1
13,3,1,4,-1
13,4,-1,3,-1
13,5,1,3,-1
13,6,-1,4,-1
13,7,1,3,-1
13,8,-1,1,-1
13,9,1,3,-1
13,10,-1,0,-1
13,11,1,2,-1
13,12,-1,4,-1
13,13,1,4,-1
13,14,-1,2,-1

14,0,1,3,-1
14,1,-1,5,-1
14,2,1,4,-1
14,3,-1,2,-1
14,4,1,5,-1
14,5,-1,3,-1
14,6,1,2,-1
14,7,-1,3,-1
14,8,1,3,-1
14,9,-1,4,-1
14,10,1,5,-1
14,11,-1,4,-1
14,12,1,5,-1
14,13,-1,5,-1
14,14,1,3,-1
14,15,-1,2,-1
14,16,1,5,-1
14,17,-1,2,-1

15,0,1,5,-1
15,1,-1,3,-1
15,2,1,3,-1
15,3,-1,1,-1
15,4,1,6,-1
15,5,-1,2,-1
15,6,1,0,-1
15,7,-1,4,-1

16,0,1,5,-1
16,1,-1,3,-1
16,2,1,0,-1
16,3,-1,3,-1
16,4,1,6,-1
16,5,-1,3,-1
16,6,1,4,-1
16,7,-1,3,-1

17,0,-1,3,-1
17,1,1,4,-1
17,2,-1,3,-1
17,3,1,6,-1
17,4,-1,3,-1
17,5,1,3,-1
17,6,-1,2,-1
17,7,1,4,-1
17,8,-1,0,-1
17,9,1,4,-1
17,10,-1,1,-1

18,0,-1,3,1
18,1,1,1,1
18,2,-1,5,1
18,3,1,4,1
18,4,-1,3,1
18,5,1,4,1
18,6,-1,3,1
18,7,1,3,1
18,8,-1,4,1
18,9,1,4,1
18,10,-1,1,1
18,11,1,3,1
18,12,-1,2,1
18,13,1,2,1
18,14,-1,1,1
18,15,1,2,1
18,16,-1,0,1
18,17,1,3,1
18,18,-1,2,1
18,19,1,4,1
18,20,-1,4,1
18,21,1,1,1
18,22,-1,6,1
18,23,1,2,1
18,24,-1,1,1
18,25,1,2,1
18,26,-1,6,1
18,27,1,6,1
18,28,-1,6,1
18,29,1,6,1
18,30,-1,5,1
18,31,1,6,1
18,32,-1,5,1
18,33,1,5,1

19,0,-1,3,-1
19,1,1,5,-1
19,2,-1,3,-1
19,3,1,5,-1
19,4,-1,3,-1
19,5,1,5,-1
19,6,-1,3,-1

20,0,-1,3,-1
20,1,1,4,-1
20,2,-1,3,-1
20,3,1,0,-1
20,4,-1,3,-1
20,5,1,4,-1
20,6,-1,3,-1

21,0,1,6,-1
21,1,-1,3,-1
21,2,1,3,-1
21,3,-1,2,-1
21,4,1,3,-1
21,5,-1,1,-1
21,6,1,4,-1
21,7,-1,0,-1

22,0,-1,3,-1
22,1,1,2,-1
22,2,-1,3,-1
22,3,1,5,-1
22,4,-1,3,-1
22,5,1,5,-1
22,6,-1,3,-1

23,0,1,1,-1
23,1,-1,3,-1
23,2,1,1,-1
23,3,-1,1,-1
23,4,1,0,-1
23,5,-1,0,-1
23,6,1,0,-1
23,7,-1,5,-1
23,8,1,3,-1
23,9,-1,4,-1
23,10,1,2,-1
23,11,-1,6,-1

24,0,1,3,-1
24,1,-1,5,-1
24,2,1,6,-1
24,3,-1,3,-1
24,4,1,6,-1
24,5,-1,5,-1
24,6,1,3,-1
24,7,-1,5,-1
24,8,1,5,-1
24,9,-1,6,-1
24,10,1,2,-1
24,11,-1,4,-1
24,12,1,3,-1
24,13,-1,2,-1
24,14,1,3,-1
24,15,-1,4,-1

25,0,1,4,-1
25,1,-1,3,-1
25,2,1,4,-1
25,3,-1,4,-1
25,4,1,0,-1
25,5,-1,6,-1
25,6,1,6,-1
25,7,-1,1,-1
25,8,1,0,-1
25,9,-1,3,-1
25,10,1,0,-1
25,11,-1,0,-1
25,12,1,5,-1
25,13,-1,6,-1
25,14,1,2,-1
25,15,-1,5,-1
25,16,1,1,-1
25,17,-1,6,-1
25,18,1,6,-1
25,19,-1,2,-1
25,20,1,0,-1
25,21,-1,1,-1

26,0,-1,3,-1
26,1,1,5,-1
26,2,-1,3,-1
26,3,1,3,-1
26,4,-1,1,-1
26,5,1,0,-1
26,6,-1,2,-1
26,7,1,4,-1
26,8,-1,4,-1
26,9,1,2,-1
26,10,-1,4,-1
26,11,1,3,-1
26,12,-1,3,-1
26,13,1,3,-1
26,14,-1,5,-1
26,15,1,1,-1
26,16,-1,2,-1
26,17,1,5,-1
26,18,-1,5,-1

27,0,-1,3,-1
27,1,1,4,-1
27,2,-1,3,-1
27,3,1,6,-1
27,4,-1,3,-1
27,5,1,3,-1
27,6,-1,2,-1
27,7,1,4,-1
27,8,-1,0,-1
27,9,1,4,-1
27,10,-1,1,-1

28,0,-1,3,-1
28,1,1,4,-1
28,2,-1,3,-1
28,3,1,2,-1
28,4,-1,3,-1
28,5,1,3,-1
28,6,-1,4,-1
28,7,1,0,-1
28,8,-1,4,-1
28,9,1,4,-1
28,10,-1,5,-1
28,11,1,2,-1
28,12,-1,2,-1
28,13,1,3,-1
28,14,-1,2,-1

29,0,1,0,1
29,1,-1,3,1
29,2,1,0,1
29,3,-1,4,1
29,4,1,0,1
29,5,-1,0,1
29,6,1,5,1
29,7,-1,3,1
29,8,1,3,1
29,9,-1,5,1
29,10,1,4,1
29,11,-1,3,1
29,12,1,2,1
29,13,-1,3,1
29,14,1,3,1
29,15,-1,6,1
29,16,1,4,1
29,17,-1,4,1
29,18,1,5,1
29,19,-1,5,1
29,20,1,5,1
29,21,-1,1,1
29,22,1,6,1
29,23,-1,6,1
29,24,1,6,1
29,25,-1,1,1
29,26,1,5,1
29,27,-1,2,1
29,28,1,2,1

30,0,-1,3,-1
30,1,1,6,-1
30,2,-1,2,-1
30,3,1,0,-1
30,4,-1,4,-1
30,5,1,2,-1
30,6,-1,1,-1

31,0,1,2,1
31,1,-1,3,1
31,2,1,5,1
31,3,-1,2,1
31,4,1,3,1
31,5,-1,5,1
31,6,1,3,1
31,7,-1,3,1
31,8,1,5,1
31,9,-1,5,1
31,10,1,2,1
31,11,-1,0,1
31,12,1,4,1
31,13,-1,3,1
31,14,1,2,1
31,15,-1,4,1
31,16,1,4,1

32,0,-1,3,-1
32,1,1,5,-1
32,2,-1,3,-1
32,3,1,5,-1
32,4,-1,3,-1
32,5,1,3,-1
32,6,-1,5,-1
32,7,1,6,-1
32,8,-1,2,-1
32,9,1,6,-1
32,10,-1,0,-1
32,11,1,6,-1
32,12,-1,1,-1

33,0,-1,3,-1
33,1,1,6,-1
33,2,-1,2,-1
33,3,1,3,-1
33,4,-1,1,-1
33,5,1,3,-1
33,6,-1,0,-1

34,0,1,5,-1
34,1,-1,3,-1
34,2,1,0,-1
34,3,-1,3,-1
34,4,1,4,-1
34,5,-1,3,-1
34,6,1,3,-1
34,7,-1,4,-1
34,8,1,6,-1
34,9,-1,4,-1
34,10,1,6,-1
34,11,-1,4,-1
34,12,1,4,-1
34,13,-1,0,-1
34,14,1,6,-1
34,15,-1,6,-1
34,16,1,1,-1
34,17,-1,0,-1
34,18,1,6,-1
34,19,-1,0,-1
34,20,1,4,-1
34,21,-1,0,-1

35,0,1,3,-1
35,1,-1,5,-1
35,2,1,6,-1
35,3,-1,3,-1
35,4,1,5,-1
35,5,-1,3,-1
35,6,1,3,-1
35,7,-1,5,-1
35,8,1,2,-1
35,9,-1,1,-1
35,10,1,0,-1
35,11,-1,1,-1
35,12,1,4,-1
35,13,-1,1,-1
35,14,1,5,-1
35,15,-1,1,-1

36,0,1,3,1
36,1,-1,5,1
36,2,1,5,1
36,3,-1,1,1
36,4,1,0,1
36,5,-1,0,1
36,6,1,3,1
36,7,-1,3,1
36,8,1,5,1
36,9,-1,4,1
36,10,1,6,1
36,11,-1,6,1
36,12,1,6,1
36,13,-1,4,1
36,14,1,4,1
36,15,-1,3,1
36,16,1,5,1
36,17,-1,2,1
36,18,1,5,1

37,0,1,3,-1
37,1,-1,5,-1
37,2,1,6,-1
37,3,-1,3,-1
37,4,1,6,-1
37,5,-1,5,-1
37,6,1,6,-1
37,7,-1,6,-1
37,8,1,4,-1
37,9,-1,5,-1
37,10,1,4,-1
37,11,-1,5,-1

38,0,1,1,-1
38,1,-1,3,-1
38,2,1,6,-1
38,3,-1,3,-1
38,4,1,5,-1
38,5,-1,3,-1
38,6,1,3,-1
38,7,-1,6,-1
38,8,1,3,-1
38,9,-1,6,-1
38,10,1,6,-1
38,11,-1,5,-1
38,12,1,1,-1
